
================================================================================
PREFIXOS DE 1 BYTE(S)
================================================================================
         1x  BA F1 DC 61 54 D8
         1x  85 00 0C FF F1 FC
         1x  2B 38 3E 4B F0 60
         1x  1F FE CC 9D A2 33
         1x  44 7D 99 10 3F BA
         1x  C9 31 29 17 A6 E4
         1x  D0 25 B1 5E 7B 67
         1x  95 C1 24 B3 86 A6
         1x  AC 36 0F 19 94 EC
         1x  0A 3B 5E 07 D3 D6
         1x  2C F4 0D 3A ED 74
         1x  56 D2 4A 51 4F 67
         1x  DF 78 1C 50 CC 50
         1x  3E 7A F5 20 64 AE
         1x  10 58 06 BA 20 7B
         1x  78 CF B7 D1 E8 43
         1x  AD CD C7 F9 5E 15
         1x  A6 CA 45 56 33 8D
         1x  E4 27 47 51 23 70
         1x  55 53 33 BD C1 28
         1x  69 60 EC A1 B6 58
         1x  CD 43 DE 8D 74 63
         1x  77 0F 49 E2 F7 5A
         1x  B7 E9 B3 1A A3 A0
         1x  B3 5E 0C 21 04 03
         1x  10 69 12 71 E4 E0
         1x  E6 AC D7 DB E3 F8
         1x  3E 6E 98 1C C7 79
         1x  94 6F 4D C7 D2 16
         1x  B2 77 49 38 55 7D
         1x  9B FD C8 2B 2C 8A
         1x  62 50 43 60 C3 44
         1x  8D B7 C6 FE 25 6F
         1x  E5 C5 BB 00 FA 06
         1x  2D CE 8B E0 A4 64
         1x  A1 5B 87 BB F6 17
         1x  18 94 A6 12 E4 F1
         1x  9F 20 DA C8 7D F5
         1x  9F 5F B6 C2 E5 D3
         1x  5C 35 1F 7D 16 47
         1x  2D D0 68 03 01 21
         1x  A5 A8 03 8E 07 62
         1x  EA BD 5A 8A 91 FD
         1x  F4 76 DC 90 A2 27
         1x  CA 8A 7D EE F3 AE
         1x  27 B8 09 66 ED C0
         1x  E1 FD DE 46 C3 0A
         1x  0B 41 38 92 7E 04
         1x  2C 70 2A 1C EF FC
         1x  68 F2 25 A1 F9 5A
         1x  CB 1E E0 9A B7 AD
         1x  FF C0 1F B7 1D C9
         1x  46 39 85 20 DE 1B
         1x  D5 38 76 7D BA BE
         1x  5B 11 5D 24 F1 76
         1x  8B 45 0E 48 38 66
         1x  D0 E0 D4 BC BB AE
         1x  EE E1 C6 FE 6A EF
         1x  82 45 CB EB 8E 9B
         1x  2A DE FC A9 5A 56
         1x  C5 D4 C6 F1 EA EF
         1x  DE E8 96 18 C9 51
         1x  B3 D4 2B 37 DC BC
         1x  3D E0 EB 69 AD 5D
         1x  E3 92 F5 9E 83 C7
         1x  7A B7 94 F7 20 21
         1x  79 ED 45 95 55 64
         1x  B7 A5 EC AE F9 58
         1x  98 6C 3B 0A 68 99
         1x  D0 D2 F9 18 45 42
         1x  5F 15 13 96 B4 AD
         1x  66 21 0D 28 EC 34
         1x  1E 1D 87 F5 F4 97
         1x  55 BB 9F 29 04 F6
         1x  E5 1D 89 50 47 5A
         1x  97 0C 0A 97 2F 11
         1x  16 3D 07 A8 8C 9C
         1x  CF 05 64 CF C7 59
         1x  55 8A 1C CD 07 9E
         1x  B6 2B DB 12 A3 D3
         1x  9E EF 82 68 58 26
         1x  35 22 AE FF AA 17
         1x  2D A6 B9 9B EB 75
         1x  A3 A5 32 91 DC 01
         1x  76 10 7C 53 89 82
         1x  08 E0 20 A8 1D 6C
         1x  D0 EC D4 70 37 AE
         1x  00 AB 5A 91 72 5A
         1x  E0 91 9A 5B BC FE
         1x  95 16 20 8F 7E 4B
         1x  98 DF 50 3D BF F7
         1x  B5 61 EE E4 43 5A
         1x  B3 99 CF 9D ED 00
         1x  D1 D9 40 A2 FB F5
         1x  40 B5 FD 86 9F 37
         1x  45 89 C4 CE 5E ED
