=== CORRELAÇÃO S2C -> C2S ===

   C2S #000130 len=55 dt=85.42ms 08 E0 20 A8 1D 6C 57 5E E2 59 73 EF 5D 28 6C 9B
   C2S #000133 len=17 dt=117.94ms E0 91 9A 5B BC FE C6 99 77 AB 0F CE C8 45 53 A3
   C2S #000135 len=17 dt=161.36ms 98 DF 50 3D BF F7 30 8C AD 61 36 EC 66 7B 94 4F
   C2S #000136 len=55 dt=185.07ms B5 61 EE E4 43 5A FC 8A EB 63 6A 68 17 D9 6A 1E
   C2S #000138 len=17 dt=186.59ms D1 D9 40 A2 FB F5 81 37 42 92 05 34 E0 F3 93 5A
   C2S #000141 len=17 dt=220.43ms F7 8F 78 DF 94 4A 28 10 1B FF 17 EF 7B 0F 72 AE

S2C #000125 len=1165 -> respostas:
   C2S #000126 len=17 dt=0.47ms 35 22 AE FF AA 17 2F 59 35 BC 66 F5 09 57 5F DA
   C2S #000128 len=17 dt=39.71ms A3 A5 32 91 DC 01 8D D1 FF E2 80 F2 7D F4 59 5E
   C2S #000130 len=55 dt=48.00ms 08 E0 20 A8 1D 6C 57 5E E2 59 73 EF 5D 28 6C 9B
   C2S #000133 len=17 dt=80.52ms E0 91 9A 5B BC FE C6 99 77 AB 0F CE C8 45 53 A3
   C2S #000135 len=17 dt=123.94ms 98 DF 50 3D BF F7 30 8C AD 61 36 EC 66 7B 94 4F
   C2S #000136 len=55 dt=147.65ms B5 61 EE E4 43 5A FC 8A EB 63 6A 68 17 D9 6A 1E
   C2S #000138 len=17 dt=149.17ms D1 D9 40 A2 FB F5 81 37 42 92 05 34 E0 F3 93 5A
   C2S #000141 len=17 dt=183.01ms F7 8F 78 DF 94 4A 28 10 1B FF 17 EF 7B 0F 72 AE
   C2S #000144 len=17 dt=217.18ms AA B9 36 99 4E 95 6D 56 A8 D2 71 3F 11 4C 7B 84

S2C #000127 len=1165 -> respostas:
   C2S #000128 len=17 dt=0.38ms A3 A5 32 91 DC 01 8D D1 FF E2 80 F2 7D F4 59 5E
   C2S #000130 len=55 dt=8.67ms 08 E0 20 A8 1D 6C 57 5E E2 59 73 EF 5D 28 6C 9B
   C2S #000133 len=17 dt=41.19ms E0 91 9A 5B BC FE C6 99 77 AB 0F CE C8 45 53 A3
   C2S #000135 len=17 dt=84.61ms 98 DF 50 3D BF F7 30 8C AD 61 36 EC 66 7B 94 4F
   C2S #000136 len=55 dt=108.32ms B5 61 EE E4 43 5A FC 8A EB 63 6A 68 17 D9 6A 1E
   C2S #000138 len=17 dt=109.84ms D1 D9 40 A2 FB F5 81 37 42 92 05 34 E0 F3 93 5A
   C2S #000141 len=17 dt=143.68ms F7 8F 78 DF 94 4A 28 10 1B FF 17 EF 7B 0F 72 AE
   C2S #000144 len=17 dt=177.85ms AA B9 36 99 4E 95 6D 56 A8 D2 71 3F 11 4C 7B 84
   C2S #000146 len=68 dt=209.24ms 4E 0A FD BD 59 79 B6 F1 73 31 FC F0 33 89 2D A2

S2C #000132 len=1166 -> respostas:
   C2S #000133 len=17 dt=0.27ms E0 91 9A 5B BC FE C6 99 77 AB 0F CE C8 45 53 A3
